Date,XLK,XLC,XLY,XLE,XLI,XLV,XLP,XLB
2020-08-13,54.41746520996094,56.428131103515625,68.4194564819336,14.994467735290527,70.59978485107422,97.16924285888672,54.781341552734375,27.81829071044922
2020-08-14,54.37926483154297,56.41870880126953,68.4146957397461,15.137160301208496,70.87400817871094,96.97855377197266,54.77280807495117,27.84941291809082
2020-08-17,54.742183685302734,56.48471450805664,69.296142578125,15.049960136413574,70.544921875,97.55062103271484,55.08013916015625,27.973920822143555
2020-08-18,54.947513580322266,56.99392318725586,69.72496032714844,14.859705924987793,70.16095733642578,97.52338409423828,55.30209732055664,27.85831069946289
2020-08-19,54.880653381347656,56.83360290527344,69.39618682861328,14.689268112182617,69.97814178466797,97.20557403564453,54.8667106628418,27.77826499938965
2020-08-20,55.61125946044922,57.54084777832031,69.29136657714844,14.372176170349121,69.60334777832031,96.89683532714844,54.7557258605957,27.68044090270996
2020-08-21,56.31797790527344,57.2862434387207,69.64871215820312,14.281012535095215,69.88672637939453,96.9967269897461,54.89232635498047,27.520357131958008
2020-08-24,56.80503463745117,57.98405838012695,70.70645141601562,14.673412322998047,71.14826965332031,96.55180358886719,55.36185073852539,28.005043029785156
2020-08-25,57.091552734375,58.53098678588867,70.9399185180664,14.46730899810791,71.05684661865234,97.20557403564453,55.24233627319336,27.89388084411621
2020-08-26,58.25190353393555,60.53010940551758,71.64031219482422,14.162103652954102,71.09339904785156,97.0875244140625,55.31063461303711,28.18735694885254
2020-08-27,58.29965591430664,59.794586181640625,71.25437927246094,14.189852714538574,71.34937286376953,97.85028076171875,55.65211868286133,28.111764907836914
2020-08-28,58.810604095458984,59.93603515625,71.7212905883789,14.443523406982422,72.0258560180664,98.06822204589844,56.147247314453125,28.445262908935547
2020-08-31,58.996829986572266,59.65313720703125,71.51167297363281,14.130393981933594,71.1300048828125,98.30430603027344,55.98504638671875,28.00949478149414
2020-09-01,60.12376403808594,60.14347839355469,72.25971221923828,14.03526496887207,71.85214233398438,97.42350769042969,56.04480743408203,28.79654884338379
2020-09-02,60.65857696533203,61.425933837890625,73.26028442382812,13.967885971069336,73.04055786132812,99.37577819824219,57.06070327758789,29.450210571289062
2020-09-03,57.201385498046875,59.341949462890625,70.9351577758789,13.864832878112793,70.99285888671875,96.66984558105469,56.07896423339844,28.636474609375
2020-09-04,56.4039306640625,58.25751495361328,70.11564636230469,13.82122802734375,71.15741729736328,95.97972869873047,55.950904846191406,28.654260635375977
2020-09-08,53.85401153564453,56.720455169677734,69.19609069824219,13.317848205566406,69.82273864746094,94.39971923828125,54.77280807495117,28.116209030151367
2020-09-09,55.61125946044922,57.39939880371094,70.50157928466797,13.409013748168945,70.90144348144531,96.07051849365234,55.566741943359375,28.84101104736328
2020-09-10,54.35540008544922,56.55072784423828,69.49150085449219,12.917519569396973,69.99642181396484,94.59951782226562,54.8837890625,28.569766998291016
2020-09-11,53.939964294433594,56.37156295776367,69.59630584716797,12.92940902709961,70.94713592529297,94.9718017578125,55.191123962402344,28.93439483642578
2020-09-14,55.071659088134766,56.588443756103516,70.33483123779297,13.0285005569458,71.9070053100586,96.33385467529297,55.54966354370117,29.35239028930664
